objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
col_1,Cat by Jamini Roy,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,https://live.staticflickr.com/65535/50058560633_2e153f6950_b.jpg,https://live.staticflickr.com/65535/50058560633_2e153f6950_b.jpg,https://live.staticflickr.com/65535/50058560633_2e153f6950_b.jpg
example_001,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Example locally hosted image item. Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities; buildings; campuses; picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, Special Collections and Archives, University of Idaho Library",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/demo_001.jpg,/objects/small/demo_001_sm.jpg,/objects/thumbs/demo_001_th.jpg
